agent,sample,frame,x,y,yaw,width,length
0,0,384,32.362430572509766,142.26931762695312,1.2101762294769287,1.6070000000000002,4.936
0,0,385,32.37089920043945,142.29225158691406,1.2102553844451904,1.6070000000000002,4.936
0,0,386,32.37854766845703,142.31304931640625,1.2103233337402344,1.6070000000000002,4.936
0,0,387,32.385379791259766,142.33169555664062,1.210379719734192,1.6070000000000002,4.936
0,0,388,32.39139938354492,142.34820556640625,1.2104262113571167,1.6070000000000002,4.936
0,0,389,32.3966178894043,142.362548828125,1.210464358329773,1.6070000000000002,4.936
0,0,390,32.40103530883789,142.37474060058594,1.2104955911636353,1.6070000000000002,4.936
0,0,391,32.404659271240234,142.384765625,1.2105205059051514,1.6070000000000002,4.936
0,0,392,32.407501220703125,142.39263916015625,1.2105399370193481,1.6070000000000002,4.936
0,0,393,32.40955352783203,142.3983612060547,1.2105542421340942,1.6070000000000002,4.936
0,0,394,32.41087341308594,142.40203857421875,1.2105637788772583,1.6070000000000002,4.936
0,0,395,32.4116325378418,142.40414428710938,1.2105696201324463,1.6070000000000002,4.936
0,0,396,32.41200256347656,142.40513610839844,1.210572600364685,1.6070000000000002,4.936
0,0,397,32.41212463378906,142.40542602539062,1.2105742692947388,1.6070000000000002,4.936
0,0,398,32.412113189697266,142.40528869628906,1.2105746269226074,1.6070000000000002,4.936
0,0,399,32.412025451660156,142.40493774414062,1.2105703353881836,1.6070000000000002,4.936
0,0,400,32.411903381347656,142.40444946289062,1.210564136505127,1.6070000000000002,4.936
0,0,401,32.41176223754883,142.40390014648438,1.2105588912963867,1.6070000000000002,4.936
0,0,402,32.41162109375,142.40335083007812,1.2105538845062256,1.6070000000000002,4.936
0,0,403,32.4114875793457,142.40283203125,1.2105488777160645,1.6070000000000002,4.936
0,0,404,32.41136932373047,142.40235900878906,1.2105441093444824,1.6070000000000002,4.936
0,0,405,32.411258697509766,142.40194702148438,1.2105401754379272,1.6070000000000002,4.936
