Variation,v_ego,v_target,t_cut_in,a_target,R_cut_in
445,90,50,1,-2,50
446,90,50,1,0,10
447,90,50,1,0,20
448,90,50,1,0,30
449,90,50,1,0,40
450,90,50,1,0,50
451,90,50,2,-8,10
452,90,50,2,-8,20
453,90,50,2,-8,30
454,90,50,2,-8,40
455,90,50,2,-8,50
456,90,50,2,-6,10
457,90,50,2,-6,20
458,90,50,2,-6,30
459,90,50,2,-6,40
460,90,50,2,-6,50
461,90,50,2,-4,10
462,90,50,2,-4,20
463,90,50,2,-4,30
464,90,50,2,-4,40
465,90,50,2,-4,50
466,90,50,2,-2,10
467,90,50,2,-2,20
468,90,50,2,-2,30
469,90,50,2,-2,40
470,90,50,2,-2,50
471,90,50,2,0,10
472,90,50,2,0,20
473,90,50,2,0,30
474,90,50,2,0,40
475,90,50,2,0,50
476,90,50,3,-8,20
477,90,50,3,-8,30
478,90,50,3,-8,40
479,90,50,3,-8,50
480,90,50,3,-6,20
481,90,50,3,-6,30
482,90,50,3,-6,40
483,90,50,3,-6,50
484,90,50,3,-4,20
485,90,50,3,-4,30
486,90,50,3,-4,40
487,90,50,3,-4,50
488,90,50,3,-2,10
489,90,50,3,-2,20
490,90,50,3,-2,30
491,90,50,3,-2,40
492,90,50,3,-2,50
493,90,50,3,0,10
494,90,50,3,0,20
495,90,50,3,0,30
496,90,50,3,0,40
497,90,50,3,0,50
498,90,50,4,-8,30
499,90,50,4,-8,40
500,90,50,4,-8,50
501,90,50,4,-6,30
502,90,50,4,-6,40
503,90,50,4,-6,50
504,90,50,4,-4,20
505,90,50,4,-4,30
506,90,50,4,-4,40
507,90,50,4,-4,50
508,90,50,4,-2,20
509,90,50,4,-2,30
510,90,50,4,-2,40
511,90,50,4,-2,50
512,90,50,4,0,20
513,90,50,4,0,30
514,90,50,4,0,40
515,90,50,4,0,50
516,90,50,5,-8,40
517,90,50,5,-8,50
518,90,50,5,-6,40
519,90,50,5,-6,50
520,90,50,5,-4,30
521,90,50,5,-4,40
522,90,50,5,-4,50
523,90,50,5,-2,30
524,90,50,5,-2,40
525,90,50,5,-2,50
526,90,50,5,0,30
527,90,50,5,0,40
528,90,50,5,0,50
529,90,70,1,-8,10
530,90,70,1,-8,20
531,90,70,1,-8,30
532,90,70,1,-8,40
533,90,70,1,-8,50
534,90,70,1,-6,10
535,90,70,1,-6,20
536,90,70,1,-6,30
537,90,70,1,-6,40
538,90,70,1,-6,50
